"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C12","_0402","8.7mm","-4.5mm","8.7mm","-4.5mm","8.7mm","-4.1mm","B","270.00","1u"
"C13","_0402","-8.4mm","-2.6mm","-8.4mm","-2.6mm","-8mm","-2.6mm","T","180.00","100n"
"C14","_0402","-8.4mm","5.6mm","-8.4mm","5.6mm","-8mm","5.6mm","T","180.00","100n"
"C16","_0402","9.6mm","-4.5mm","9.6mm","-4.5mm","9.6mm","-4.1mm","B","270.00","1u"
"C18","_0402","10.5mm","-4.5mm","10.5mm","-4.5mm","10.5mm","-4.9mm","B","90.00","1u"
"C20","_0402","-6.9mm","6.4mm","-6.9mm","6.4mm","-7.3mm","6.4mm","B","360.00","1u"
"C21","_0402","7.9mm","10.5mm","7.9mm","10.5mm","8.3mm","10.5mm","B","180.00","1u"
"C23","_0402","-3.5mm","6.4mm","-3.5mm","6.4mm","-3.9mm","6.4mm","B","360.00","1u"
"C24","Case_A_(3216)","-8.8mm","9.8mm","-8.8mm","9.8mm","-7.5mm","9.8mm","T","180.00","JMK316ABJ476MLHT"
"C26","_0402","9.7mm","10.5mm","9.7mm","10.5mm","9.3mm","10.5mm","B","360.00","1u"
"C27","_0402","-5.1mm","6.4mm","-5.1mm","6.4mm","-4.7mm","6.4mm","B","180.00","1u"
"C29","_0402","-6.6mm","-2.6mm","-6.6mm","-2.6mm","-7mm","-2.6mm","T","360.00","1n"
"C30","_0402","-6.7mm","5.6mm","-6.7mm","5.6mm","-7.1mm","5.6mm","T","360.00","1n"
"C31","_0402","-9.6mm","-8mm","-9.6mm","-8mm","-9.2mm","-8mm","B","180.00","1u"
